X , Y, Z, Vx, Vy, Vz, AirSpeed
9940.58203125,-23.47666358947754,-52305.765625,1.742555105010979e-05,2.0637899069697596e-06,-1.9777275156229734e-05,-2.5223372357846707e-44
9940.58203125,-23.476661682128906,-52305.765625,1.817832890083082e-05,1.9775809505517827e-06,-2.0634543034248054e-05,-2.5223372357846707e-44
9940.58203125,-23.476661682128906,-52305.765625,1.973826510948129e-05,1.9582082586566685e-06,-2.2414002160076052e-05,-2.5223372357846707e-44
9940.58203125,-23.476661682128906,-52305.765625,1.946426709764637e-05,2.1431637833302375e-06,-2.20966903725639e-05,-2.5223372357846707e-44
9940.58203125,-23.476659774780273,-52305.765625,1.9786795746767893e-05,2.2898857423570007e-06,-2.2458829334937036e-05,-2.5223372357846707e-44
9940.58203125,-23.476659774780273,-52305.765625,1.6828813386382535e-05,2.3636114292457933e-06,-1.910434730234556e-05,-2.5223372357846707e-44
9940.58203125,-23.476659774780273,-52305.765625,1.7356280295643955e-05,2.257465439470252e-06,-1.972322934307158e-05,-2.5223372357846707e-44
9940.58203125,-23.47665786743164,-52305.765625,1.9154686015099287e-05,2.3176501144916983e-06,-2.171940286643803e-05,-2.5223372357846707e-44
9940.58203125,-23.47665786743164,-52305.765625,1.9434151909081265e-05,2.4513019525329582e-06,-2.2063242795411497e-05,-2.5223372357846707e-44
9940.58203125,-23.47665786743164,-52305.765625,9.704499461804517e-06,2.8229358122189296e-06,-1.1034328053938225e-05,-2.5223372357846707e-44
9940.58203125,-23.476655960083008,-52305.765625,1.1500318578328006e-05,2.3405234514939366e-06,-1.3074968592263758e-05,-2.5223372357846707e-44
9940.58203125,-23.476655960083008,-52305.765625,1.636315937503241e-05,2.22978610509017e-06,-1.8543647456681356e-05,-2.5223372357846707e-44
9940.58203125,-23.476655960083008,-52305.765625,1.7490114259999245e-05,2.4677510737092234e-06,-1.9839641026919708e-05,-2.5223372357846707e-44
9940.58203125,-23.476654052734375,-52305.765625,1.6255266018561088e-05,2.481915544194635e-06,-1.8477810954209417e-05,-2.5223372357846707e-44
9940.58203125,-23.476654052734375,-52305.765625,1.4693348930450156e-05,2.5816252673394047e-06,-1.666252501308918e-05,-2.5223372357846707e-44
9940.58203125,-23.476654052734375,-52305.765625,1.5593865100527182e-05,2.4219118586188415e-06,-1.770703966030851e-05,-2.5223372357846707e-44
9940.58203125,-23.476652145385742,-52305.765625,1.5638752302038483e-05,2.0387940367072588e-06,-1.7785703676054254e-05,-2.5223372357846707e-44
9940.58203125,-23.476652145385742,-52305.765625,1.1198957508895546e-05,2.234752855656552e-06,-1.2702177627943456e-05,-2.5223372357846707e-44
9940.58203125,-23.476652145385742,-52305.765625,1.6213429262279533e-05,1.8861989019569592e-06,-1.839502147049643e-05,-2.5223372357846707e-44
9940.58203125,-23.47665023803711,-52305.765625,1.602888005436398e-05,2.066120714516728e-06,-1.822321064537391e-05,-2.5223372357846707e-44
9940.58203125,-23.47665023803711,-52305.765625,1.7670528905000538e-05,1.6522966461707256e-06,-2.0066581782884896e-05,-2.5223372357846707e-44
9940.58203125,-23.47665023803711,-52305.765625,2.0627034245990217e-05,1.731724182718608e-06,-2.34160506806802e-05,-2.5223372357846707e-44
9940.58203125,-23.476648330688477,-52305.765625,2.003802001127042e-05,1.8008568076766096e-06,-2.276907252962701e-05,-2.5223372357846707e-44
9940.58203125,-23.476648330688477,-52305.765625,1.82162802957464e-05,9.997399956773734e-07,-2.0674746338045225e-05,-2.5223372357846707e-44
9940.58203125,-23.476648330688477,-52305.765625,1.7730188119458035e-05,4.635419372789329e-07,-2.0155937818344682e-05,-2.5223372357846707e-44
9940.58203125,-23.476646423339844,-52305.765625,1.861563214333728e-05,9.05084277746937e-07,-2.1129439119249582e-05,-2.5223372357846707e-44
9940.58203125,-23.476646423339844,-52305.765625,1.920060094562359e-05,-1.9507700699250563e-07,-2.176520138164051e-05,-2.5223372357846707e-44
9940.58203125,-23.476646423339844,-52305.765625,1.9711449567694217e-05,3.822321730240219e-07,-2.237566513940692e-05,-2.5223372357846707e-44
