X , Y, Z, Vx, Vy, Vz, AirSpeed
9940.7880859375,-23.478666305541992,-52305.91015625,0.02568250708281994,-0.0011079784017056227,-0.029471002519130707,0.0
9940.7978515625,-23.479267120361328,-52305.921875,0.004523014184087515,-0.00046333676436915994,-0.00500916875898838,0.0
9940.8017578125,-23.479551315307617,-52305.92578125,0.0021575524006038904,-3.5995217331219465e-05,-0.0024212708231061697,0.0
9940.8037109375,-23.479585647583008,-52305.92578125,0.0008983408333733678,-8.574376261094585e-05,-0.0009126450167968869,0.0
9940.8037109375,-23.47960662841797,-52305.92578125,0.0003545127692632377,-1.0958912753267214e-05,-0.00043465945054776967,0.0
9940.8046875,-23.479623794555664,-52305.9296875,0.00011956819798797369,-1.7249362826987635e-06,-0.00012810542830266058,0.0
9940.8046875,-23.479629516601562,-52305.9296875,8.18713815533556e-05,-5.157142823009053e-06,-9.5254166808445e-05,0.0
9940.8046875,-23.479633331298828,-52305.9296875,9.305529965786263e-05,-1.0960225154121872e-05,-0.00010108105925610289,0.0
9940.8046875,-23.47963523864746,-52305.9296875,6.406299507943913e-05,5.876768227608409e-08,-7.52540145185776e-05,0.0
9940.8046875,-23.479637145996094,-52305.9296875,2.4474013116559945e-05,2.355935976083856e-06,-2.6802363208844326e-05,0.0
9940.8046875,-23.479637145996094,-52305.9296875,3.755991201614961e-06,1.7130519154306967e-06,-4.661957973439712e-06,0.0
9940.8046875,-23.479637145996094,-52305.9296875,4.941734459862346e-06,4.818651859750389e-07,-5.492973741638707e-06,0.0
9940.8046875,-23.479637145996094,-52305.9296875,5.5681517551420256e-05,1.1992440249741776e-06,-6.337573722703382e-05,0.0
9940.8046875,-23.479656219482422,-52305.9296875,1.916656765388325e-05,3.170566742483061e-06,-9.84893849818036e-05,0.0
9940.8046875,-23.479652404785156,-52305.9296875,3.5640612622955814e-05,-2.0616585061361548e-07,-1.1924617865588516e-05,0.0
9940.8046875,-23.479652404785156,-52305.9296875,2.3029730073176324e-05,1.6757280718593393e-07,-3.609061604947783e-05,0.0
9940.8046875,-23.479652404785156,-52305.9296875,-2.326330286450684e-05,4.745688642060486e-08,2.8471213227021508e-05,0.0
9940.8046875,-23.479650497436523,-52305.9296875,3.630537321441807e-05,-5.448818569675495e-07,-4.1672003135317937e-05,0.0
9940.8046875,-23.479650497436523,-52305.9296875,-3.817909237113781e-05,-2.0597519778675633e-07,4.383097984828055e-05,0.0
9940.8046875,-23.479650497436523,-52305.9296875,-2.4576365831308067e-06,2.621274859393452e-07,2.317065082024783e-06,0.0
9940.8046875,-23.47964859008789,-52305.9296875,3.201203071512282e-06,9.808481991058215e-07,-3.5056218621321023e-06,0.0
9940.8046875,-23.47964859008789,-52305.9296875,-1.3487071555573493e-05,-4.540824605214766e-08,1.5229648852255195e-05,0.0
9940.8046875,-23.47964859008789,-52305.9296875,-1.8197988538304344e-05,2.2993631887402444e-07,2.0707218936877325e-05,0.0
9940.8046875,-23.479646682739258,-52305.9296875,-3.0579314625356346e-05,6.915596486578579e-07,3.469678995315917e-05,0.0
9940.8046875,-23.479646682739258,-52305.9296875,-3.201952495146543e-05,-9.399677480814717e-08,3.6331923183752224e-05,0.0
9940.8046875,-23.479646682739258,-52305.9296875,-2.8414247935870662e-05,-6.21080346263625e-07,3.225665568606928e-05,0.0
9940.8046875,-23.479644775390625,-52305.9296875,-2.621960811666213e-05,-3.1280450230042334e-07,2.9763650672975928e-05,0.0
9940.8046875,-23.479644775390625,-52305.9296875,-2.5926699890987948e-05,-1.0431679697830987e-07,2.942135324701667e-05,0.0
9940.8046875,-23.479642868041992,-52305.9296875,-2.7875717933056876e-05,-1.712385255814297e-08,3.163035216857679e-05,0.0
9940.8046875,-23.479642868041992,-52305.9296875,-2.7920366846956313e-05,-1.9452791377716494e-07,3.1692179618403316e-05,0.0
9940.8046875,-23.479642868041992,-52305.9296875,-3.826075771939941e-05,-5.518571697393782e-07,4.343147884355858e-05,0.0
