X , Y, Z, Vx, Vy, Vz, AirSpeed
8935.4970703125,-19.068296432495117,-51854.640625,-2.8021371690556407e-05,-5.97087182541145e-06,-8.128546369334799e-07,1.961817850054744e-44
8935.4970703125,-19.068283081054688,-51854.640625,-8.81116502569057e-05,-8.65559559315443e-06,1.7347203993267613e-06,1.961817850054744e-44
8935.4970703125,-19.068269729614258,-51854.640625,2.8886068321298808e-05,-4.897582584817428e-06,-2.173193479393376e-06,1.961817850054744e-44
8935.4970703125,-19.068256378173828,-51854.640625,-4.6860579459462315e-05,-6.9666166382376105e-06,1.7739321265253238e-06,1.961817850054744e-44
8935.4970703125,-19.06824493408203,-51854.640625,-3.844834282062948e-05,-6.401160590030486e-06,-7.981049066074775e-08,1.961817850054744e-44
8935.4970703125,-19.0682315826416,-51854.640625,-1.3561882951762527e-05,-6.8949129854445346e-06,4.327253009250853e-07,1.961817850054744e-44
8935.4970703125,-19.068218231201172,-51854.640625,4.045348759973422e-05,-5.166420123714488e-06,-5.4844534247422416e-08,1.961817850054744e-44
8935.4970703125,-19.068204879760742,-51854.640625,-8.865950803738087e-05,-7.787581125739962e-06,1.7955374005396152e-06,1.961817850054744e-44
8935.4970703125,-19.068191528320312,-51854.640625,6.100127939134836e-05,-4.812507086171536e-06,1.6587486584285216e-07,1.961817850054744e-44
8935.4970703125,-19.068180084228516,-51854.640625,3.552636917447671e-05,-5.1925130719610024e-06,1.1283638059467194e-06,1.961817850054744e-44
8935.4970703125,-19.068166732788086,-51854.640625,2.8500042390078306e-05,-4.545948740997119e-06,-4.2634519559214823e-07,1.961817850054744e-44
8935.4970703125,-19.068153381347656,-51854.640625,3.6740166251547635e-06,-6.140833647805266e-06,-7.777164228173206e-07,1.961817850054744e-44
8935.318359375,-19.07064437866211,-51854.63671875,-1.2674980163574219,-0.02125130593776703,0.003749122377485037,0.09008090198040009
8931.853515625,-19.08974838256836,-51854.62890625,-5.808909893035889,-0.06285660713911057,0.019862310960888863,3.916593074798584
8923.380859375,-19.15559959411621,-51854.59765625,-10.545638084411621,-0.09003320336341858,0.036854229867458344,11.848109245300293
8910.0400390625,-19.24600601196289,-51854.55078125,-15.210315704345703,-0.0912209004163742,0.05459648370742798,20.73170280456543
8892.6328125,-19.252710342407227,-51854.5078125,-19.60643196105957,0.09333261847496033,0.024231284856796265,29.35205841064453
8870.8818359375,-19.197124481201172,-51854.44921875,-23.91998291015625,0.0333845354616642,0.07125044614076614,37.81277084350586
8846.4287109375,-19.202157974243164,-51854.39453125,-27.940412521362305,0.012259276583790779,0.045760542154312134,45.662864685058594
8816.4599609375,-19.117612838745117,-51854.36328125,-32.160499572753906,0.10709036886692047,0.007080022245645523,53.86545944213867
8780.30859375,-19.080467224121094,-51854.39453125,-36.52958679199219,0.06884616613388062,-0.06597287207841873,62.41447067260742
8742.298828125,-19.051956176757812,-51854.49609375,-40.603660583496094,-0.3021661639213562,-0.13396571576595306,70.2533950805664
8699.43359375,-19.315433502197266,-51854.6875,-44.718257904052734,-0.1479254961013794,-0.2491670846939087,78.1055908203125
8651.0341796875,-19.29979705810547,-51855.0,-48.83820343017578,0.0032418477348983288,-0.35039275884628296,86.15788269042969
8600.6826171875,-19.163673400878906,-51855.39453125,-52.72643280029297,-0.039337582886219025,-0.4368509352207184,93.71817016601562
8549.4296875,-19.059133529663086,-51855.83984375,-56.360816955566406,0.19120660424232483,-0.5039048790931702,100.754638671875
8487.6513671875,-18.952106475830078,-51856.3984375,-60.40605545043945,0.27048712968826294,-0.5495696663856506,108.55935668945312
8423.689453125,-18.376916885375977,-51856.98828125,-64.20404815673828,0.6896172761917114,-0.5980815887451172,116.05186462402344
8362.6962890625,-17.483118057250977,-51857.5625,-67.52190399169922,1.351532220840454,-0.6422701478004456,122.64959716796875
8291.7255859375,-16.336671829223633,-51858.23828125,-71.15750885009766,1.2577462196350098,-0.6844395995140076,129.7410888671875
